type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
single_family,2015.0,6.0,6.0,5.0,1.0,2.0,3125.0,5200.0,3.0,3375000.0,2016-03-31,3399000.0,for_sale
single_family,1960.0,3.0,2.0,2.0,,2.0,3750.0,1082.0,,320000.0,2023-07-07,315000.0,for_sale
single_family,,2.0,1.0,1.0,,,3690.0,850.0,1.0,100000.0,1995-05-12,274900.0,for_sale
single_family,1970.0,5.0,4.0,4.0,,2.0,6250.0,3400.0,2.0,315000.0,2008-12-02,399999.0,for_sale
multi_family,1915.0,10.0,5.0,5.0,,2.0,38768.0,4200.0,,70000.0,1981-05-27,165000.0,for_sale
single_family,1939.0,4.0,2.0,2.0,,2.0,5001.0,2850.0,2.0,250000.0,2018-09-28,399000.0,for_sale
multi_family,1962.0,6.0,5.0,5.0,,2.0,,2600.0,,,,489900.0,for_sale
single_family,1941.0,4.0,1.0,1.0,,,4935.0,1200.0,2.0,205000.0,2019-12-16,280000.0,for_sale
single_family,1940.0,3.0,2.0,2.0,,2.0,4200.0,1344.0,2.0,275000.0,2007-05-23,269900.0,for_sale
single_family,1949.0,4.0,2.0,2.0,,,3750.0,1800.0,2.0,185000.0,2002-07-08,259900.0,for_sale
single_family,1914.0,2.0,2.0,2.0,,,6075.0,1344.0,2.0,65000.0,2009-07-10,39900.0,for_sale
condos,2019.0,4.0,6.0,4.0,2.0,2.0,,7582.0,70.0,,,15170000.0,for_sale
single_family,1950.0,2.0,1.0,1.0,,2.0,4125.0,1000.0,,131500.0,2014-01-16,269900.0,for_sale
single_family,1941.0,3.0,2.0,1.0,1.0,2.0,6395.0,1536.0,,280000.0,2023-04-24,309000.0,for_sale
condos,2003.0,3.0,2.0,2.0,,,,1700.0,3.0,,,239900.0,for_sale
single_family,1931.0,3.0,3.0,2.0,1.0,3.0,4051.0,2054.0,2.0,,,250000.0,for_sale
single_family,1910.0,4.0,3.0,2.0,1.0,2.0,8599.0,2506.0,2.0,390000.0,2020-10-20,495000.0,for_sale
townhomes,1988.0,3.0,3.0,3.0,,1.0,,,3.0,,,679000.0,for_sale
single_family,1960.0,3.0,2.0,1.0,1.0,2.0,3813.0,1328.0,1.0,270000.0,2001-11-01,419000.0,for_sale
condos,1940.0,2.0,1.0,1.0,,,,,2.0,200000.0,2023-05-26,215000.0,for_sale
condos,1925.0,2.0,1.0,1.0,,,,1100.0,3.0,219000.0,2018-11-01,255000.0,for_sale
single_family,1936.0,3.0,3.0,2.0,1.0,2.0,6250.0,2600.0,2.0,,,950000.0,for_sale
single_family,1948.0,3.0,1.0,1.0,,2.0,5625.0,994.0,1.0,82000.0,1998-09-15,175000.0,for_sale
condos,1927.0,4.0,4.0,3.0,1.0,1.0,,3000.0,17.0,,,400000.0,for_sale
multi_family,1927.0,6.0,4.0,3.0,1.0,2.0,4032.0,,,,,399000.0,for_sale
single_family,1900.0,4.0,3.0,1.0,2.0,4.0,13321.0,2869.0,2.0,107000.0,1986-04-01,399900.0,for_sale
single_family,1935.0,3.0,3.0,3.0,,2.0,,1650.0,2.0,260000.0,2017-05-22,484999.0,for_sale
condos,,2.0,1.0,1.0,,,,1000.0,4.0,200000.0,2005-12-16,165000.0,for_sale
single_family,1952.0,3.0,3.0,2.0,1.0,2.0,8000.0,2500.0,2.0,,,429999.0,for_sale
single_family,2017.0,5.0,7.0,5.0,2.0,2.0,3071.0,6450.0,,4775000.0,2022-12-21,4980000.0,for_sale
condos,1962.0,2.0,2.0,2.0,,1.0,,1250.0,20.0,150100.0,2013-11-08,199900.0,for_sale
multi_family,1883.0,6.0,3.0,3.0,,2.0,4356.0,,,,,135000.0,for_sale
single_family,1921.0,4.0,3.0,3.0,,2.0,3750.0,2154.0,2.0,135000.0,1994-01-26,389000.0,for_sale
single_family,1930.0,3.0,2.0,2.0,,3.0,5837.0,2090.0,2.0,410000.0,2021-05-24,495000.0,for_sale
single_family,2007.0,6.0,6.0,5.0,1.0,2.0,4500.0,6400.0,3.0,,,3495000.0,for_sale
single_family,1896.0,6.0,5.0,3.0,2.0,2.0,30056.0,5400.0,3.0,265000.0,2004-01-30,899000.0,for_sale
single_family,1914.0,5.0,5.0,3.0,2.0,2.0,9380.0,3260.0,3.0,,,450000.0,for_sale
single_family,1923.0,4.0,3.0,3.0,,2.0,4410.0,3549.0,2.0,260000.0,2011-07-08,650000.0,for_sale
single_family,1959.0,3.0,2.0,2.0,,2.0,2500.0,1900.0,,,,340000.0,for_sale
single_family,1893.0,4.0,4.0,3.0,1.0,2.0,7188.0,,3.0,1155000.0,2008-12-22,1850000.0,for_sale
condos,2005.0,2.0,3.0,2.0,1.0,1.0,,2400.0,3.0,400000.0,2007-08-07,280500.0,for_sale
single_family,2004.0,6.0,5.0,4.0,1.0,3.0,3907.0,5000.0,2.0,2100000.0,2022-08-17,2649900.0,for_sale
single_family,1894.0,5.0,4.0,4.0,,2.0,3125.0,4000.0,3.0,675000.0,2012-01-12,750000.0,for_sale
single_family,1924.0,3.0,2.0,2.0,,2.0,,3514.0,2.0,,,520000.0,for_sale
single_family,1921.0,3.0,2.0,2.0,,2.0,4000.0,2000.0,2.0,44000.0,1983-08-01,415000.0,for_sale
townhomes,1945.0,3.0,2.0,2.0,,2.0,,1592.0,2.0,,,90000.0,for_sale
single_family,1895.0,4.0,2.0,2.0,,,7250.0,,3.0,,,1050000.0,for_sale
single_family,1895.0,3.0,4.0,2.0,2.0,2.0,3123.0,3222.0,2.0,640000.0,2018-08-13,950000.0,for_sale
single_family,1929.0,3.0,2.0,2.0,,2.0,4720.0,1944.0,2.0,157500.0,1988-09-01,595000.0,for_sale
condos,,2.0,1.0,1.0,,,,,3.0,341500.0,2018-11-27,385000.0,for_sale
single_family,1918.0,6.0,3.0,3.0,,2.0,5160.0,2409.0,,95000.0,1988-06-23,679000.0,for_sale
multi_family,1918.0,4.0,2.0,2.0,,1.0,37897.0,,,,,275000.0,for_sale
single_family,1957.0,3.0,3.0,3.0,,2.0,3125.0,2222.0,2.0,127000.0,1999-10-25,567000.0,for_sale
condos,1995.0,1.0,1.0,1.0,,1.0,,,3.0,135000.0,2020-10-07,169900.0,for_sale
single_family,1947.0,5.0,3.0,2.0,1.0,2.0,,4000.0,2.0,,,774900.0,for_sale
townhomes,1944.0,2.0,1.0,1.0,,1.0,2858.0,1017.0,2.0,115000.0,2014-04-08,179900.0,for_sale
single_family,1893.0,6.0,7.0,6.0,1.0,2.0,2574.0,8000.0,3.0,,,2999999.0,for_sale
single_family,1885.0,3.0,2.0,2.0,,2.0,3125.0,,1.0,96000.0,1990-08-21,350000.0,for_sale
single_family,2009.0,6.0,8.0,5.0,3.0,3.0,3690.0,6200.0,3.0,2172000.0,2018-01-04,2695000.0,for_sale
single_family,1922.0,3.0,2.0,2.0,,2.0,,1425.0,2.0,180000.0,2019-04-19,259900.0,for_sale
single_family,2002.0,4.0,4.0,3.0,1.0,2.0,3459.0,,2.0,717500.0,2023-03-09,765000.0,for_sale
condos,1927.0,3.0,3.0,3.0,,1.0,,3000.0,17.0,156000.0,1994-05-04,520000.0,for_sale
single_family,2011.0,6.0,4.0,3.0,1.0,3.0,4125.0,4611.0,2.0,,,1895000.0,for_sale
single_family,1956.0,2.0,2.0,2.0,,2.0,4792.0,1974.0,1.0,181000.0,1995-11-28,469000.0,for_sale
single_family,1941.0,4.0,3.0,2.0,1.0,2.0,5625.0,1943.0,2.0,288000.0,2011-08-10,649500.0,for_sale
single_family,1920.0,4.0,4.0,3.0,1.0,2.0,3720.0,1218.0,2.0,110000.0,2000-09-06,250000.0,for_sale
single_family,1935.0,4.0,4.0,2.0,2.0,2.0,7560.0,3000.0,2.0,540000.0,2018-06-28,650000.0,for_sale
single_family,1955.0,3.0,3.0,2.0,1.0,2.0,,1575.0,1.0,,,309900.0,for_sale
condos,1951.0,2.0,2.0,2.0,,2.0,,1600.0,26.0,,,350000.0,for_sale
single_family,1909.0,4.0,3.0,2.0,1.0,4.0,8712.0,3712.0,3.0,157000.0,1995-12-05,1399000.0,for_sale
multi_family,,6.0,2.0,2.0,,2.0,,,,161000.0,2002-07-25,265000.0,for_sale
single_family,1903.0,5.0,4.0,4.0,,2.0,3999.0,1124.0,2.0,,,99900.0,for_sale
single_family,1921.0,4.0,3.0,3.0,,2.0,3250.0,1400.0,2.0,504500.0,2002-11-12,249900.0,for_sale
condos,1965.0,1.0,1.0,1.0,,,,1000.0,3.0,44000.0,1995-10-04,112100.0,for_sale
single_family,1964.0,3.0,1.0,1.0,,,6500.0,1250.0,1.0,,,239900.0,for_sale
townhomes,2001.0,3.0,3.0,3.0,,2.0,,,4.0,,,273000.0,for_sale
single_family,1947.0,3.0,2.0,1.0,1.0,2.0,,1580.0,2.0,,,199999.0,for_sale
single_family,1975.0,3.0,2.0,1.0,1.0,2.0,6000.0,1032.0,1.0,65000.0,1987-05-01,230000.0,for_sale
single_family,1922.0,4.0,3.0,3.0,,2.0,8950.0,1176.0,2.0,310000.0,2008-03-31,455000.0,for_sale
single_family,1923.0,2.0,2.0,1.0,1.0,2.0,3684.0,1280.0,2.0,147000.0,1999-02-03,359000.0,for_sale
single_family,1944.0,3.0,2.0,1.0,1.0,2.0,4250.0,1490.0,2.0,102000.0,2023-03-13,308900.0,for_sale
single_family,2003.0,4.0,4.0,3.0,1.0,2.0,3125.0,,2.0,679000.0,2004-08-03,1250000.0,for_sale
single_family,1951.0,3.0,2.0,2.0,,3.0,,1341.0,1.0,140000.0,2015-08-05,229900.0,for_sale
single_family,1990.0,4.0,4.0,3.0,1.0,2.0,3000.0,3600.0,2.0,966500.0,2014-09-04,1399000.0,for_sale
single_family,1918.0,3.0,1.0,1.0,,2.0,3125.0,1232.0,1.0,45000.0,1988-08-04,59900.0,for_sale
single_family,1960.0,3.0,1.0,1.0,,2.0,2156000.0,1170.0,,,,264900.0,for_sale
single_family,1890.0,4.0,3.0,3.0,,1.0,3125.0,2563.0,3.0,235000.0,2020-12-16,549987.0,for_sale
townhomes,1995.0,3.0,3.0,3.0,,1.0,630.0,2150.0,3.0,489000.0,2004-05-28,719000.0,for_sale
single_family,1949.0,3.0,2.0,2.0,,3.0,6199.0,2150.0,2.0,715000.0,2021-05-05,799999.0,for_sale
single_family,1912.0,3.0,1.0,1.0,,2.0,3750.0,1748.0,2.0,,,344900.0,for_sale
single_family,1952.0,6.0,3.0,3.0,,2.0,3780.0,2300.0,2.0,140000.0,2021-05-20,399000.0,for_sale
single_family,1889.0,4.0,2.0,2.0,,2.0,4443.0,3500.0,3.0,790000.0,2021-07-21,875000.0,for_sale
single_family,2005.0,3.0,3.0,2.0,1.0,2.0,2700.0,2000.0,2.0,500000.0,2023-01-12,625000.0,for_sale
single_family,1929.0,5.0,3.0,2.0,1.0,2.0,4085.0,1813.0,2.0,,,379900.0,for_sale
single_family,1946.0,3.0,2.0,1.0,1.0,2.0,5192.0,2160.0,2.0,405000.0,2017-07-31,510000.0,for_sale
single_family,1923.0,2.0,2.0,2.0,,2.0,3123.0,1369.0,2.0,67000.0,2002-04-12,125000.0,for_sale
single_family,1899.0,3.0,2.0,2.0,,2.0,3750.0,,2.0,490000.0,2022-03-15,550000.0,for_sale
single_family,1995.0,4.0,5.0,3.0,2.0,2.0,3224.0,,2.0,333000.0,1995-08-21,1150000.0,for_sale
single_family,2020.0,5.0,7.0,4.0,3.0,2.0,3093.0,5800.0,3.0,2525000.0,2021-05-06,3350000.0,for_sale
single_family,1941.0,4.0,3.0,2.0,1.0,2.0,3604.0,,2.0,56299.0,2013-07-25,314999.0,for_sale
single_family,1910.0,4.0,2.0,2.0,,,3149.0,1500.0,2.0,100000.0,2023-05-05,402000.0,for_sale
condos,1922.0,4.0,4.0,4.0,,,,3000.0,17.0,406000.0,2015-05-22,499000.0,for_sale
single_family,1951.0,4.0,1.0,1.0,,2.0,,1400.0,2.0,81100.0,1987-08-10,359888.0,for_sale
single_family,1954.0,3.0,3.0,2.0,1.0,2.0,5250.0,3600.0,1.0,380000.0,2022-07-13,435000.0,for_sale
single_family,1918.0,4.0,2.0,2.0,,,,1056.0,2.0,,,75000.0,for_sale
single_family,1935.0,4.0,2.0,2.0,,2.0,9150.0,1850.0,,183000.0,1998-08-14,325000.0,for_sale
single_family,,4.0,4.0,3.0,1.0,2.0,,3300.0,2.0,70000.0,1981-07-14,698500.0,for_sale
single_family,1885.0,4.0,2.0,2.0,,,,2371.0,2.0,112000.0,2003-06-26,59900.0,for_sale
single_family,1925.0,3.0,2.0,2.0,,2.0,4375.0,1701.0,2.0,,,299500.0,for_sale
single_family,1955.0,4.0,1.0,1.0,,2.0,5000.0,1623.0,2.0,,,343000.0,for_sale
single_family,1926.0,4.0,3.0,3.0,,2.0,5000.0,2879.0,2.0,115000.0,1986-08-01,385000.0,for_sale
single_family,1905.0,4.0,2.0,2.0,,,3136.0,2310.0,2.0,198000.0,2004-05-11,485000.0,for_sale
single_family,1953.0,3.0,2.0,2.0,,1.0,6273.0,1283.0,1.0,,,429900.0,for_sale
single_family,1911.0,3.0,2.0,2.0,,2.0,4704.0,1518.0,2.0,290000.0,2019-08-09,449900.0,for_sale
condos,1974.0,2.0,2.0,1.0,1.0,1.0,,1000.0,4.0,,,245000.0,for_sale
single_family,1926.0,1.0,1.0,1.0,,,,880.0,,,,99000.0,for_sale
single_family,2024.0,5.0,4.0,3.0,1.0,2.0,3125.0,3600.0,2.0,,,1219900.0,for_sale
single_family,1923.0,3.0,2.0,1.0,1.0,2.0,,1836.0,2.0,83900.0,1988-04-01,200000.0,for_sale
condos,1914.0,2.0,2.0,2.0,,,,1200.0,3.0,5000.0,2010-07-29,179000.0,for_sale
condos,1995.0,3.0,3.0,2.0,1.0,1.0,,,3.0,,,975000.0,for_sale
single_family,1901.0,3.0,4.0,3.0,1.0,2.0,5279.0,,2.0,650000.0,2019-01-09,870000.0,for_sale
condos,1971.0,2.0,2.0,2.0,,1.0,,,1.0,375000.0,2013-10-09,429999.0,for_sale
condos,1921.0,2.0,2.0,2.0,,,,,2.0,,,225000.0,for_sale
townhomes,2006.0,3.0,3.0,2.0,1.0,2.0,,,4.0,779000.0,2022-03-09,799000.0,for_sale
townhomes,2000.0,3.0,3.0,3.0,,2.0,,2000.0,3.0,,,675000.0,for_sale
multi_family,1911.0,6.0,2.0,2.0,,2.0,1.0,,,,,799900.0,for_sale
multi_family,1880.0,7.0,2.0,2.0,,,2400.0,,,490000.0,2020-06-26,749000.0,for_sale
single_family,1921.0,4.0,2.0,1.0,1.0,2.0,3844.0,1490.0,2.0,85000.0,2017-10-24,129000.0,for_sale
condos,1927.0,1.0,1.0,1.0,,1.0,,,1.0,272000.0,2022-02-17,269900.0,for_sale
single_family,1922.0,6.0,2.0,2.0,,2.0,6251.0,1040.0,2.0,163500.0,2015-03-23,250000.0,for_sale
condos,2001.0,3.0,3.0,2.0,1.0,2.0,,2200.0,3.0,,,700000.0,for_sale
condos,,1.0,1.0,1.0,,,,900.0,3.0,117500.0,2015-11-04,128000.0,for_sale
multi_family,1894.0,7.0,3.0,3.0,,1.0,4850.0,2800.0,,90000.0,2011-01-12,675000.0,for_sale
townhomes,1950.0,3.0,2.0,1.0,1.0,1.0,1166.0,1369.0,2.0,,,369000.0,for_sale
multi_family,1899.0,8.0,4.0,4.0,,,2178.0,,,,,567500.0,for_sale
multi_family,1907.0,7.0,3.0,3.0,,,,3000.0,,138600.0,2021-07-26,529900.0,for_sale
multi_family,1880.0,7.0,5.0,5.0,,,,2550.0,,,,159000.0,for_sale
single_family,1961.0,3.0,2.0,1.0,1.0,2.0,4125.0,1291.0,1.0,,,95000.0,for_sale
condos,1916.0,2.0,2.0,2.0,,,,1400.0,3.0,187000.0,2019-08-20,265000.0,for_sale
multi_family,1916.0,12.0,4.0,4.0,,2.0,3750.0,4400.0,,566000.0,2017-09-13,1599900.0,for_sale
condos,1891.0,2.0,2.0,2.0,,,,1300.0,4.0,260000.0,2016-01-27,575000.0,for_sale
single_family,,3.0,2.0,2.0,,2.0,3125.0,3780.0,2.0,,,289900.0,for_sale
multi_family,1910.0,4.0,2.0,2.0,,,3125.0,,,,,290000.0,for_sale
single_family,2008.0,3.0,2.0,2.0,,,3528.0,1138.0,1.0,10000.0,2011-10-14,130000.0,for_sale
townhomes,2020.0,4.0,4.0,3.0,1.0,2.0,1092.0,1850.0,3.0,,,650000.0,for_sale
condos,1925.0,2.0,2.0,2.0,,,,,4.0,135000.0,2020-09-11,199900.0,for_sale
condos,,2.0,4.0,3.0,1.0,1.0,,1376.0,3.0,515000.0,2017-11-08,788000.0,for_sale
single_family,1927.0,3.0,2.0,2.0,,2.0,2892.0,1176.0,2.0,290000.0,2006-03-31,299500.0,for_sale
condos,,3.0,3.0,3.0,,,,2500.0,2.0,,,322000.0,for_sale
condos,1920.0,3.0,3.0,2.0,1.0,,,1800.0,4.0,387000.0,2004-09-10,505000.0,for_sale
single_family,,3.0,4.0,3.0,1.0,,1800.0,2100.0,2.0,300000.0,2017-03-23,969998.0,for_sale
multi_family,1899.0,9.0,4.0,4.0,,1.0,5000.0,,,,,499900.0,for_sale
single_family,1972.0,3.0,3.0,2.0,1.0,2.0,7200.0,1461.0,1.0,,,412500.0,for_sale
condos,1920.0,3.0,2.0,2.0,,1.0,,,3.0,265000.0,2018-07-03,350000.0,for_sale
single_family,1896.0,3.0,2.0,1.0,1.0,2.0,2962.0,,2.0,445000.0,2022-03-03,525000.0,for_sale
single_family,1919.0,3.0,2.0,2.0,,1.0,,1127.0,2.0,183000.0,2004-10-07,157500.0,for_sale
multi_family,1896.0,6.0,3.0,3.0,,2.0,5000.0,,,75000.0,1989-03-28,574900.0,for_sale
condos,2017.0,4.0,5.0,4.0,1.0,2.0,,2900.0,6.0,1890808.0,2019-07-24,1995000.0,for_sale
multi_family,1916.0,6.0,4.0,4.0,,,,,,723500.0,2014-09-22,995000.0,for_sale
multi_family,,9.0,6.0,6.0,,2.0,4375.0,,,760000.0,2017-05-26,899000.0,for_sale
condos,,2.0,2.0,2.0,,,,,1.0,324500.0,2014-09-04,449900.0,for_sale
single_family,1955.0,3.0,1.0,1.0,,2.0,4125.0,1148.0,1.0,224000.0,2006-07-17,105000.0,for_sale
single_family,1938.0,4.0,5.0,4.0,1.0,2.0,9000.0,4519.0,2.0,690000.0,2010-06-28,1350000.0,for_sale
condos,,3.0,2.0,2.0,,,,1686.0,3.0,252000.0,2016-03-29,229900.0,for_sale
condos,1924.0,3.0,2.0,2.0,,1.0,,,6.0,965000.0,2019-03-11,975000.0,for_sale
condos,2003.0,2.0,2.0,2.0,,,,1450.0,2.0,,,450000.0,for_sale
condos,2022.0,3.0,2.0,2.0,,1.0,,,4.0,,,800000.0,for_sale
multi_family,1906.0,5.0,3.0,2.0,1.0,2.0,3750.0,,,,,425000.0,for_sale
single_family,1956.0,3.0,2.0,2.0,,2.0,4961.0,1028.0,1.0,310000.0,2022-01-18,349900.0,for_sale
multi_family,1900.0,4.0,2.0,2.0,,1.0,,1700.0,,,,620000.0,for_sale
condos,1970.0,1.0,1.0,1.0,,,,720.0,2.0,107000.0,2020-03-05,165000.0,for_sale
condos,1925.0,2.0,2.0,2.0,,,,,3.0,,,265000.0,for_sale
multi_family,1880.0,6.0,2.0,2.0,,,,,,58000.0,2007-04-05,185000.0,for_sale
condos,1999.0,3.0,2.0,2.0,,1.0,,,4.0,,,549950.0,for_sale
condos,1998.0,2.0,2.0,2.0,,1.0,,,3.0,313500.0,2003-01-07,475000.0,for_sale
multi_family,1887.0,4.0,2.0,2.0,,,4356.0,,,305000.0,2018-08-10,475000.0,for_sale
condos,2001.0,2.0,3.0,2.0,1.0,1.0,,1950.0,4.0,495000.0,2022-01-31,585000.0,for_sale
condos,1921.0,3.0,1.0,1.0,,,,1038.0,3.0,174000.0,2018-08-09,225000.0,for_sale
condos,1928.0,2.0,2.0,2.0,,1.0,,2400.0,18.0,364000.0,1997-06-11,600000.0,for_sale
single_family,1938.0,3.0,2.0,1.0,1.0,1.0,,1900.0,2.0,,,650000.0,for_sale
condos,1925.0,4.0,2.0,2.0,,,,1340.0,4.0,,,285000.0,for_sale
multi_family,1905.0,5.0,3.0,3.0,,,3125.0,,,60000.0,2009-10-19,265000.0,for_sale
single_family,1950.0,3.0,1.0,1.0,,1.0,7375.0,1645.0,1.0,,,279500.0,for_sale
townhomes,2005.0,2.0,2.0,2.0,,2.0,1875.0,1285.0,3.0,285000.0,2021-07-13,325000.0,for_sale
multi_family,1922.0,8.0,3.0,3.0,,2.0,3125.0,,,,,260000.0,for_sale
single_family,2024.0,6.0,6.0,4.0,2.0,2.0,3750.0,4760.0,3.0,750000.0,2022-07-12,2550000.0,for_sale
condos,1968.0,2.0,1.0,1.0,,,,,3.0,,,175000.0,for_sale
condos,2003.0,2.0,2.0,2.0,,1.0,,,3.0,336000.0,2010-08-31,525000.0,for_sale
condos,1920.0,1.0,1.0,1.0,,,,800.0,3.0,,,319000.0,for_sale
condos,2007.0,2.0,2.0,2.0,,1.0,,1260.0,3.0,397500.0,2013-10-03,515000.0,for_sale
condos,2002.0,2.0,2.0,2.0,,1.0,,2180.0,3.0,,,599000.0,for_sale
apartment,1875.0,4.0,2.0,2.0,,,3049.0,,2.0,75000.0,2003-03-05,224900.0,for_sale
multi_family,1885.0,3.0,2.0,2.0,,1.0,3125.0,,,,,150000.0,for_sale
single_family,1954.0,4.0,3.0,3.0,,2.0,,2600.0,2.0,370500.0,2016-12-05,490000.0,for_sale
multi_family,1906.0,4.0,3.0,2.0,1.0,,6840.0,,,,,309900.0,for_sale
condos,1904.0,2.0,1.0,1.0,,1.0,,1180.0,6.0,285000.0,2017-12-07,274999.0,for_sale
condos,2003.0,3.0,3.0,2.0,1.0,2.0,,1800.0,5.0,206000.0,2021-01-27,335000.0,for_sale
single_family,,4.0,3.0,2.0,1.0,,3125.0,1881.0,2.0,,,294000.0,for_sale
single_family,1944.0,3.0,4.0,3.0,1.0,2.0,3780.0,2600.0,2.0,211500.0,2005-03-21,649000.0,for_sale
condos,2019.0,3.0,2.0,2.0,,1.0,,1573.0,4.0,499000.0,2019-07-18,550000.0,for_sale
multi_family,1920.0,6.0,3.0,3.0,,,3920.0,,,79000.0,2017-02-06,395000.0,for_sale
condos,,3.0,2.0,2.0,,,,1859.0,3.0,391500.0,2017-07-31,450000.0,for_sale
single_family,1885.0,2.0,2.0,2.0,,,1984.0,1088.0,2.0,70000.0,2002-05-24,220000.0,for_sale
condos,1965.0,2.0,2.0,1.0,1.0,,,1425.0,5.0,120000.0,1995-08-03,269000.0,for_sale
multi_family,1890.0,0.0,0.0,,,,,,,46500.0,1989-06-01,370000.0,for_sale
condos,,2.0,1.0,1.0,,,,1000.0,3.0,,,210000.0,for_sale
condos,1970.0,3.0,3.0,2.0,1.0,1.0,,2170.0,39.0,450000.0,1990-06-28,549900.0,for_sale
single_family,1942.0,3.0,2.0,1.0,1.0,2.0,5750.0,1333.0,2.0,,,120000.0,for_sale
condos,2001.0,2.0,2.0,2.0,,1.0,,1189.0,7.0,384000.0,2014-07-17,550000.0,for_sale
single_family,1894.0,6.0,8.0,6.0,2.0,2.0,3707.0,9700.0,,4625000.0,2012-01-13,7700000.0,for_sale
single_family,1927.0,4.0,6.0,5.0,1.0,1.0,,5000.0,,,,2200000.0,for_sale
condos,2002.0,1.0,1.0,1.0,,,,700.0,3.0,224000.0,2021-03-24,245000.0,for_sale
condos,,1.0,1.0,1.0,,,,,4.0,73500.0,1999-07-16,142000.0,for_sale
condos,2007.0,2.0,2.0,2.0,,,,,7.0,,,329000.0,for_sale
multi_family,,5.0,3.0,3.0,,2.0,3750.0,,,412000.0,2003-12-15,585500.0,for_sale
condos,1970.0,1.0,1.0,1.0,,,,,6.0,191000.0,2022-07-19,234500.0,for_sale
single_family,,5.0,6.0,5.0,1.0,2.0,10000.0,7900.0,,5700000.0,2007-06-28,7350000.0,for_sale
townhomes,1946.0,2.0,2.0,2.0,,2.0,3660.0,,2.0,209000.0,2001-05-24,325500.0,for_sale
condos,2009.0,3.0,4.0,3.0,1.0,1.0,,2540.0,40.0,1787500.0,2019-08-15,1950000.0,for_sale
condos,1962.0,2.0,2.0,2.0,,,,1100.0,16.0,164000.0,2004-02-04,179900.0,for_sale
condos,1912.0,3.0,3.0,3.0,,2.0,,2305.0,3.0,1165000.0,2012-08-15,649000.0,for_sale
multi_family,,3.0,2.0,2.0,,,3125.0,,,340000.0,2009-10-15,269900.0,for_sale
condos,1970.0,3.0,3.0,2.0,1.0,1.0,,2300.0,39.0,485000.0,2012-04-26,449900.0,for_sale
single_family,1885.0,7.0,6.0,5.0,1.0,,12197.0,5600.0,3.0,1600000.0,2006-12-13,1470000.0,for_sale
condos,1965.0,2.0,2.0,2.0,,1.0,,1500.0,16.0,141000.0,1998-03-30,359900.0,for_sale
condos,1971.0,2.0,2.0,2.0,,1.0,,1519.0,45.0,235000.0,2008-12-04,289000.0,for_sale
single_family,1962.0,3.0,2.0,2.0,,2.0,4602.0,1152.0,1.0,150000.0,1994-05-06,300000.0,for_sale
condos,2000.0,3.0,4.0,3.0,1.0,2.0,,3800.0,27.0,,,1995000.0,for_sale
condos,1975.0,3.0,3.0,2.0,1.0,1.0,,3000.0,73.0,1800000.0,2023-08-24,2099000.0,for_sale
condos,,2.0,1.0,1.0,,,3750.0,800.0,3.0,,,79900.0,for_sale
multi_family,1907.0,5.0,2.0,2.0,,1.0,3750.0,,,36000.0,2011-03-16,129900.0,for_sale
condos,1998.0,1.0,1.0,1.0,,,,915.0,6.0,307000.0,2013-08-15,399000.0,for_sale
single_family,1893.0,3.0,8.0,3.0,5.0,,2662.0,3700.0,2.0,285000.0,2005-05-23,575000.0,for_sale
condos,2006.0,3.0,3.0,2.0,1.0,1.0,,1450.0,6.0,575000.0,2022-05-11,625000.0,for_sale
multi_family,,7.0,3.0,3.0,,,,,,,,200000.0,for_sale
condos,1906.0,1.0,1.0,1.0,,,,880.0,7.0,250000.0,2020-10-14,249999.0,for_sale
condos,1926.0,2.0,2.0,2.0,,,,1540.0,20.0,534000.0,2008-03-18,499900.0,for_sale
condos,,2.0,2.0,2.0,,,,,4.0,340000.0,2017-07-03,499900.0,for_sale
condos,2008.0,2.0,2.0,2.0,,1.0,,,5.0,417000.0,2016-09-02,499000.0,for_sale
multi_family,,4.0,4.0,3.0,1.0,,,,,,,685000.0,for_sale
condos,2003.0,2.0,2.0,2.0,,1.0,,1350.0,4.0,290000.0,2023-04-28,315000.0,for_sale
condos,1920.0,3.0,2.0,2.0,,1.0,,2000.0,3.0,230000.0,2019-10-22,394000.0,for_sale
condos,2004.0,2.0,2.0,2.0,,1.0,,1250.0,27.0,485000.0,2016-12-02,525000.0,for_sale
condos,1900.0,3.0,3.0,3.0,,1.0,,2300.0,4.0,445000.0,2012-10-18,625000.0,for_sale
condos,2005.0,2.0,2.0,2.0,,1.0,,1324.0,30.0,555000.0,2016-03-31,499900.0,for_sale
condos,1957.0,2.0,1.0,1.0,,1.0,,,23.0,140000.0,2024-01-18,299900.0,for_sale
condos,1972.0,1.0,1.0,1.0,,1.0,,,54.0,158000.0,2017-06-01,199900.0,for_sale
condos,1981.0,1.0,2.0,1.0,1.0,1.0,,1000.0,45.0,,,450000.0,for_sale
condos,2002.0,2.0,2.0,2.0,,1.0,,1401.0,58.0,443000.0,2002-07-25,579000.0,for_sale
condos,1972.0,2.0,2.0,2.0,,1.0,,1550.0,20.0,561000.0,2023-02-02,550000.0,for_sale
condos,2001.0,2.0,2.0,2.0,,1.0,,1200.0,16.0,285000.0,2014-05-02,350000.0,for_sale
condos,1953.0,1.0,1.0,1.0,,1.0,,700.0,15.0,84000.0,2015-09-09,155000.0,for_sale
